LocationID,PlaceName,Latitude,Longitude
1,Disney World,,
2,Austryan Crystals,,
3,SevenBees,,
4,QIFU,,
5,AIMONOCOIN,,
6,Eiffel Tower,,
7,Maasi Mara National Reserve,,
8,Wrigley Field,,
9,Rocky Mountain National Park,40.343182,-105.688103
10,Offshore Trap/Pot Waters Area,38,-82
11,Steller Sea Lion Protection Area,57.466667,-153.433334
12,Pacific Remote Islands Marine National Monument,16.736944,-169.523895
13,Papahanaumokuakea Marine National Monument,25.700001,-171.733337
14,Danville Conservation Area,38.865097,-91.504852
15,Sand Harbor State Park,39.198364,-119.930984
16,White Sands National Park,32.77972,-106.171669
17,Jackson Hole,43.582767,-110.821999
18,Mojave National Preserve,35.141689,-115.510399
19,Joshua Tree National Park,33.881866,-115.90065
20,Buffalo National River,35.985512,-92.757652
21,Hot Springs National Park,34.52153,-93.042267
22,Kartchner Caverns State Park,31.837551,-110.347382
